medication_name,opioid_drug,antibiotic_drug,high_risk,antipsychotic_drug
NEPAFENAC,N,N,N,N 
NETUPITANT/PALONOSETRON HCL,N,N,N,N 
NEVIRAPINE,N,N,N,N 
NIACIN,N,N,N,N 
NIACIN/LOVASTATIN,N,N,N,N 
NIACIN/SIMVASTATIN,N,N,N,N 
NICARDIPINE HCL,N,N,N,N 
NICOTINE,N,N,N,N 
NIFEDIPINE,N,N,N,N 
NIFEDIPINE,N,N,Y,N 
NILOTINIB HCL,N,N,N,N 
NILUTAMIDE,N,N,N,N 
NIMODIPINE,N,N,N,N 
NINTEDANIB ESYLATE,N,N,N,N 
NISOLDIPINE,N,N,N,N 
NITAZOXANIDE,N,N,N,N 
NITROFURANTOIN,N,Y,Y,N 
NITROFURANTOIN MACROCRYSTAL,N,Y,Y,N 
NITROFURANTOIN MONOHYD/M-CRYST,N,Y,Y,N 
NITROGLYCERIN,N,N,N,N 
NITROGLYCERIN/D5W,N,N,N,N 
NIVOLUMAB,N,N,N,N 
NIZATIDINE,N,N,N,N 
NORELGESTROMIN/ETHIN.ESTRADIOL,N,N,N,N 
NORETH-ETHINYL ESTRADIOL/IRON,N,N,N,N 
NORETHINDRONE,N,N,N,N 
NORETHINDRONE AC-ETH ESTRADIOL,N,N,N,N 
NORETHINDRONE AC-ETH ESTRADIOL,N,N,Y,N 
NORETHINDRONE ACETATE,N,N,N,N 
NORETHINDRONE-E.ESTRADIOL-IRON,N,N,N,N 
NORETHINDRONE-ETHINYL ESTRAD,N,N,N,N 
NORETHINDRONE-MESTRANOL,N,N,N,N 
NORGESTIMATE-ETHINYL ESTRADIOL,N,N,N,N 
NORGESTREL-ETHINYL ESTRADIOL,N,N,N,N 
NORTRIPTYLINE HCL,N,N,N,N 
"NUT.TX, METAB.DIS, MV & MIN #2",N,N,N,N 
NYSTATIN,N,N,N,N 
NYSTATIN/EMOLLIENT COMBO NO.54,N,N,N,N 
NYSTATIN/TRIAMCIN,N,N,N,N 
OBINUTUZUMAB,N,N,N,N 
OCTREOTIDE ACETATE,N,N,N,N 
"OCTREOTIDE ACETATE,MI-SPHERES",N,N,N,N 
OFATUMUMAB,N,N,N,N 
OFLOXACIN,N,N,N,N 
OFLOXACIN,N,Y,N,N 
OLANZAPINE,N,N,N,Y 
OLANZAPINE PAMOATE,N,N,N,Y 
OLANZAPINE/FLUOXETINE HCL,N,N,N,Y 
OLAPARIB,N,N,N,N 
OLMESARTAN MEDOXOMIL,N,N,N,N 
OLMESARTAN/AMLODIPIN/HCTHIAZID,N,N,N,N 
OLMESARTAN/HYDROCHLOROTHIAZIDE,N,N,N,N 
OLODATEROL HCL,N,N,N,N 
OLOPATADINE HCL,N,N,N,N 
OLSALAZINE SODIUM,N,N,N,N 
OMACETAXINE MEPESUCCINATE,N,N,N,N 
OMALIZUMAB,N,N,N,N 
OMBITA/PARITAP/RITON/DASABUVIR,N,N,N,N 
OMBITASVIR/PARITAPREV/RITONAV,N,N,N,N 
OMEGA-3 ACID ETHYL ESTERS,N,N,N,N 
OMEPRAZOLE,N,N,N,N 
OMEPRAZOLE MAGNESIUM,N,N,N,N 
OMEPRAZOLE/CLARITH/AMOXICILLIN,N,N,N,N 
OMEPRAZOLE/SODIUM BICARBONATE,N,N,N,N 
ONABOTULINUMTOXINA,N,N,N,N 
ONDANSETRON,N,N,N,N 
ONDANSETRON HCL,N,N,N,N 
ONDANSETRON HCL/PF,N,N,N,N 
OPIUM TINCTURE,Y,N,N,N 
OPIUM/BELLADONNA ALKALOIDS,Y,N,N,N 
OPRELVEKIN,N,N,N,N 
ORLISTAT,N,N,N,N 
ORPHENADRINE CITRATE,N,N,Y,N 
OSELTAMIVIR PHOSPHATE,N,N,N,N 
OSIMERTINIB MESYLATE,N,N,N,N 
OSPEMIFENE,N,N,N,N 
OXACILLIN SODIUM,N,Y,N,N 
"OXACILLIN SODIUM/DEXTROSE,ISO",N,Y,N,N 
OXALIPLATIN,N,N,N,N 
OXANDROLONE,N,N,N,N 
OXAPROZIN,N,N,N,N 
OXAZEPAM,N,N,N,N 
OXCARBAZEPINE,N,N,N,N 
OXICONAZOLE NITRATE,N,N,N,N 
OXYBUTYNIN,N,N,N,N 
OXYBUTYNIN CHLORIDE,N,N,N,N 
OXYCODONE HCL,Y,N,N,N 
OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N 
OXYCODONE HCL/ASPIRIN,Y,N,N,N 
OXYMETHOLONE,N,N,N,N 
OXYMORPHONE HCL,Y,N,N,N 
OXYTOCIN,N,N,N,N 
PACLITAXEL,N,N,N,N 
PACLITAXEL PROTEIN-BOUND,N,N,N,N 
PALBOCICLIB,N,N,N,N 
PALIPERIDONE,N,N,N,Y 
PALIPERIDONE PALMITATE,N,N,N,Y 
PALIVIZUMAB,N,N,N,N 
PALONOSETRON HCL,N,N,N,N 
PAMIDRONATE DISODIUM,N,N,N,N 
PANITUMUMAB,N,N,N,N 
PANOBINOSTAT LACTATE,N,N,N,N 
PANTOPRAZOLE SODIUM,N,N,N,N 
PAPAVERINE HCL,N,N,N,N 
PARATHYROID HORMONE,N,N,N,N 
PAREGORIC,N,N,N,N 
PARENTERAL AMINO ACID 10% NO.1,N,N,N,N 
PARENTERAL AMINO ACID 10% NO.2,N,N,N,N 
PARENTERAL AMINO ACID 10% NO.4,N,N,N,N 
PARENTERAL AMINO ACID 10% NO.6,N,N,N,N 
PARENTERAL AMINO ACID 15% NO.1,N,N,N,N 
PARENTERAL AMINO ACID 15% NO.2,N,N,N,N 
PARENTERAL AMINO ACID 20% NO.1,N,N,N,N 
PARICALCITOL,N,N,N,N 
PAROMOMYCIN SULFATE,N,N,N,N 
PAROXETINE HCL,N,N,N,N 
PAROXETINE MESYLATE,N,N,N,N 
PASIREOTIDE DIASPARTATE,N,N,N,N 
PASIREOTIDE PAMOATE,N,N,N,N 
PAZOPANIB HCL,N,N,N,N 
PEDI M.VIT NO.17 WITH FLUORIDE,N,N,N,N 
PEDI MULTIVIT #47/IRON/FLUORID,N,N,N,N 
PEDI MV #75/FLUORIDE/IRON,N,N,N,N 
PEDI MVI NO.12/SODIUM FLUORIDE,N,N,N,N 
PEDI MVI NO.16 WITH FLUORIDE,N,N,N,N 
PEDI MVI NO.82 WITH FLUORIDE,N,N,N,N 
"PEG 3350-BOWEL 2,TWO PART PREP",N,N,N,N 
"PEG 3350/NA SULF,BICARB,CL/KCL",N,N,N,N 
PEG3350/SOD SUL/NACL/ASB/C/KCL,N,N,N,N 
PEGADEMASE BOVINE,N,N,N,N 
PEGFILGRASTIM,N,N,N,N 
PEGINTERFERON ALFA-2A,N,N,N,N 
PEGINTERFERON ALFA-2B,N,N,N,N 
PEGINTERFERON BETA-1A,N,N,N,N 
PEGVISOMANT,N,N,N,N 
PEMBROLIZUMAB,N,N,N,N 
PEMETREXED DISODIUM,N,N,N,N 
PEN G BENZ/PEN G PROCAINE,N,Y,N,N 
PEN G POT/DEXTROSE-WATER,N,Y,N,N 
"PEN NEEDLE, DIABETIC",N,N,N,N 
"PEN NEEDLE, DIABETIC, SAFETY",N,N,N,N 
"PEN NEEDLE,DUAL SAFETY,DIABETC",N,N,N,N 
PENCICLOVIR,N,N,N,N 
PENICILLAMINE,N,N,N,N 
PENICILLIN G BENZATHINE,N,Y,N,N 
PENICILLIN G POTASSIUM,N,Y,N,N 
PENICILLIN G PROCAINE,N,Y,N,N 
PENICILLIN G SODIUM,N,Y,N,N 
PENICILLIN V POTASSIUM,N,Y,N,N 
PENTAMIDINE ISETHIONATE,N,N,N,N 
PENTAZOCINE HCL/NALOXONE HCL,Y,N,Y,N 
PENTOSAN POLYSULFATE SODIUM,N,N,N,N 
PENTOXIFYLLINE,N,N,N,N 
PERAMPANEL,N,N,N,N 
PERINDOPRIL ERBUMINE,N,N,N,N 
PERIT. DIALYSIS#6 & DEX 1.5 %,N,N,N,N 
PERMETHRIN,N,N,N,N 
PERPHENAZINE,N,N,N,Y 
PERPHENAZINE/AMITRIPTYLINE HCL,N,N,Y,Y 
PERTUZUMAB,N,N,N,N 
"PETROLATUM,WHITE",N,N,N,N 
PHENAZOPYRIDINE HCL,N,N,N,N 
PHENDIMETRAZINE TARTRATE,N,N,N,N 
PHENELZINE SULFATE,N,N,N,N 
PHENOBARBITAL,N,N,Y,N 
PHENOBARBITAL SODIUM,N,N,Y,N 
PHENOXYBENZAMINE HCL,N,N,N,N 
PHENTERMINE HCL,N,N,N,N 
PHENTERMINE/TOPIRAMATE,N,N,N,N 
